toimipaikka;osasto;vuosi;kuukausi;kävijöitä
Hakunilan kirjasto;;2007;1;16122
Hakunilan kirjasto;;2007;2;14696
Hakunilan kirjasto;;2007;11;17810
Hakunilan kirjasto;;2007;12;13250
Länsimäen kirjasto;;2007;1;6795
Myyrmäen kirjasto;;2015;1;31770
Myyrmäen kirjasto;;2015;2;31231
Myyrmäen kirjasto;;2015;3;33774
Myyrmäen kirjasto;;2015;4;30192
Myyrmäen kirjasto;;2015;5;26573
Koivukylän kirjasto;;2018;12;14592
Lumon kirjasto (Korso);;2018;1;22300
Lumon kirjasto (Korso);;2018;2;19200
Pähkinärinteen kirjasto;;2018;3;4876
Pähkinärinteen kirjasto;;2018;4;3956
