DATE;TIME PERIOD;10;100;20;200;5;50;500
2002-01-31;2002Jan;1999737;364031;1961761;75422;1919890;1417054;60617
2002-02-28;2002Feb;1822269;437637;1925594;88368;1506408;1612280;80435
2003-01-31;2003Jan;1475033;648248;1761920;118050;1102412;2223967;168783
2003-02-28;2003Feb;1468024;657373;1757287;119455;1095041;2257775;175207
2004-01-31;2004Jan;1527909;781618;1849311;133015;1144263;2668706;238857
2004-02-29;2004Feb;1530162;784626;1850077;132885;1142903;2688824;242835
2005-01-31;2005Jan;1595944;897705;1938259;141136;1198552;3083138;307083
2005-02-28;2005Feb;1586591;899873;1931161;140685;1188569;3094223;311222
2006-01-31;2006Jan;1649461;989393;2011589;146183;1238175;3426332;369096
2006-02-28;2006Feb;1659984;992577;2021232;146158;1241030;3456795;373091
